,,,,,,,,,,,,
,,,"Tabla 5.1: Resultados obtenidos por el algoritmo BL en el problema de la SC",,,,,,,,,
,"Wdbc",,,,"Movement_Libras",,,,"Arrhythmia",,,
,"%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T"
"Partición 1-1","98,5915","91,5789","90,0000","0,3417","67,7778","67,2222","91,1111","1,7344","80,7292","68,5567","98,2014","3,5072"
"Partición 1-2","95,7895","94,0141","83,3333","0,5213","77,2222","70,5556","92,2222","1,5277","76,8041","69,2708","98,5612","2,7068"
"Partición 2-1","95,4225","93,3333","90,0000","0,3200","81,6667","72,7778","88,8889","2,2433","73,9583","64,9485","98,2014","3,4125"
"Partición 2-2","98,2456","91,9014","83,3333","0,4852","68,8889","66,6667","90,0000","1,9666","78,8660","68,2292","98,2014","3,3255"
"Partición 3-1","97,8873","96,4912","76,6667","0,6666","77,2222","68,8889","91,1111","1,6781","76,0417","65,9794","98,2014","3,4072"
"Partición 3-2","97,5439","93,6620","87,0000","0,3917","77,7778","75,0000","90,0000","1,9069","79,3814","71,3542","97,1223","5,5038"
"Partición 4-1","96,8310","97,8947","87,0000","0,3932","71,6667","76,1111","90,0000","2,0013","80,7292","73,7113","97,8417","4,1868"
"Partición 4-2","97,5439","95,4225","83,3333","0,4757","77,2222","62,2222","92,2222","1,4977","78,3505","73,4375","97,8417","4,0386"
"Partición 5-1","97,5352","95,7895","90,0000","0,3125","81,6667","70,0000","86,6667","2,8394","81,2500","71,6495","97,4820","4,9066"
"Partición 5-2","96,1404","94,7183","83,3333","0,4935","77,7778","68,8889","85,5556","3,1619","75,2577","65,6250","98,2014","3,3356"
"Media","97,1531","94,4806","85,4000","0,4401","75,8889","69,8333","89,7778","2,0557","78,1368","69,2762","97,9856","3,8331"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,"Tabla 5.2: Resultados globales en el problema de la SC",,,,,,,
,"Wdbc",,,,"Movement_Libras",,,,"Arrhythmia",,,
,"%_clas",,"%_red","T","%_clas",,"%_red","T","%_clas",,"%_red","T"
"3-NN","x",,0,"x","x",,0,"x","x",,0,"x"
"SFS","x",,"x","x","x",,"x","x","x",,"x","x"
"BL","97,15",,"85,40","0,44","75,89",,"89,78","2,06","78,14",,"97,99","3,83"
"ES","x",,"x","x","x",,"x","x","x",,"x","x"
"BT básica","x",,"x","x","x",,"x","x","x",,"x","x"
"BT extendida","x",,"x","x","x",,"x","x","x",,"x","x"
