,"Wdbc",,,,"Movement_Libras",,,,"Arrhythmia",,,
,"%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T"
"Partición 1-1","99,6479","95,0877","56,6667","85,2651","73,8889","73,3333","58,8889","147,7682","77,0833","64,4330","0,5324","805,4652"
"Partición 1-2","97,1930","98,2394","46,6667","97,1011","80,0000","76,6667","62,2222","130,1093","72,6804","63,5417","0,5144","797,8680"
"Partición 2-1","97,5352","96,4912","63,3333","73,5152","76,6667","79,4444","47,7778","161,7477","73,4375","65,4639","0,5216","971,4121"
"Partición 2-2","98,9474","95,0704","40,0000","107,9068","74,4444","72,2222","57,7778","140,0962","78,8660","70,3125","0,4712","867,8862"
"Partición 3-1","98,9437","94,3860","50,0000","90,5736","76,1111","73,8889","46,6667","173,6694","77,0833","64,4330","0,5827","916,5146"
"Partición 3-2","98,2456","93,6620","53,3333","98,4654","79,4444","75,0000","53,3333","151,6055","75,2577","66,6667","0,5396","777,3816"
"Partición 4-1","97,5352","96,8421","36,6667","121,3363","75,0000","78,8889","58,8889","139,0470","73,9583","63,9175","0,5072","1047,3006"
"Partición 4-2","97,8947","95,7746","50,0000","102,9689","82,2222","66,1111","50,0000","164,7150","75,2577","68,2292","0,5108","783,6182"
"Partición 5-1","97,5352","95,7895","63,3333","78,3686","77,7778","70,0000","53,3333","153,8117","75,0000","65,4639","0,5360","895,1382"
"Partición 5-2","98,5965","97,5352","43,3333","107,9202","83,3333","72,2222","51,1111","162,3525","73,1959","65,1042","0,5108","701,9376"
"Media","98,2074","95,8878","50,3333","96,3421","77,8889","73,7778","54,0000","152,4923","75,1820","65,7566","0,5227","856,4522"
